#  extra_sigma   eta1   eta2   eta3   eta4   ndim   maxNp   Np   P0   K0   phi0   ecc0   w0   staleness   vsys
# 
1.161926189999999970e+00 7.659000000000000252e-01 1.574389000000000038e+00 1.376541304000000032e+01 1.681661969999999950e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.080813984999999988e+01
3.861599999999999755e-04 3.810705699999999974e-01 2.623005239999999905e+00 2.125224153999999999e+01 3.793673399999999862e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.282855651999999935e+01 1.015385720000000047e+00 2.445900770000000168e+00 1.118214299999999994e-01 3.384030450000000023e+00 2.000000000000000000e+00 -3.108008618999999939e+01
2.095627200000000079e-01 1.003328799999999993e-01 1.159958810000000007e+00 1.958146222999999964e+01 4.909432380000000151e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.306111480999999941e+01 1.039078479999999916e+00 3.049310950000000187e+00 3.268668599999999813e-01 2.677728979999999925e+00 6.000000000000000000e+00 -3.092645014000000003e+01
5.040527200000000096e-01 8.749655400000000416e-01 1.511338000000000070e+00 2.056940591000000040e+01 4.033763730000000436e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.084232753999999943e+01
1.191624599999999978e-01 4.967427799999999949e-01 6.296838809999999675e+00 3.496442308999999682e+01 4.474693699999999774e-01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.304466898999999991e+01 1.442308310000000038e+00 3.184304459999999892e+00 3.568424900000000122e-01 2.843143319999999807e+00 1.000000000000000000e+00 -3.112434531999999976e+01
5.091098200000000462e-01 2.496563199999999871e-01 2.417559287999999995e+01 1.427133466999999989e+01 2.804047779999999879e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.262266110999999924e+01 1.298997139999999995e+00 3.012127889999999919e+00 3.034287900000000038e-01 3.005341340000000194e+00 1.000000000000000000e+00 -3.110031525000000130e+01
3.046893000000000171e-02 1.758893569999999906e+00 3.338038167999999928e+01 1.294931354999999940e+01 1.182855329999999983e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.179738216000000151e+01
6.195185000000000275e-02 1.202766140000000039e+00 2.880471720000000069e+00 1.981562703999999897e+01 3.137574569999999952e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.065023346999999987e+01
4.936252400000000207e-01 8.479128299999999507e-01 4.373392392000000228e+01 1.305903460999999943e+01 1.062699950000000060e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.021364468999999886e+01
1.664012300000000111e-01 5.091606600000000427e-01 1.015282140000000055e+00 3.388998821999999933e+01 2.221654759999999840e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.341058853000000006e+01 9.541027499999999995e-01 2.675651729999999784e+00 2.415474800000000088e-01 3.331974509999999778e+00 0.000000000000000000e+00 -3.094997431000000176e+01
5.481593000000000160e-01 1.146044600000000052e-01 1.025104570000000104e+00 2.558299286000000095e+01 4.050515009999999805e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.227746613000000053e+01 9.035744599999999682e-01 3.129127410000000165e+00 2.258007099999999878e-01 2.626291000000000153e+00 2.000000000000000000e+00 -3.092025542000000016e+01
3.597930999999999768e-01 3.270278300000000193e-01 4.599703247000000061e+01 1.835105302999999921e+01 1.188533709999999965e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.277628567000000004e+01 1.530650049999999984e+00 2.750560000000000116e+00 5.138212699999999966e-01 3.216509550000000051e+00 1.000000000000000000e+00 -3.136520622000000103e+01
